1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5
1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5
0.12572,0.21571,0.33624,0.35822,0.37597,0.38967,0.40155,0.40925,0.41742,0.42415,0.42938,0.43483,0.43801,0.44246,0.44552,0.4488,0.45129,0.4536,0.45532,0.45889
0.15074,0.22304,0.31321,0.33351,0.35055,0.36485,0.37538,0.38537,0.39345,0.40061,0.4083,0.4128,0.41835,0.42267,0.42621,0.42947,0.43236,0.43648,0.43844,0.44102
0.16718,0.22797,0.30085,0.31845,0.33397,0.34659,0.35732,0.36723,0.37644,0.3831,0.38976,0.39616,0.40074,0.40548,0.41061,0.4138,0.41716,0.42017,0.42396,0.42649
0.17959,0.23286,0.29207,0.30827,0.32222,0.33436,0.34422,0.35371,0.3625,0.36939,0.37645,0.38636,0.38673,0.39233,0.39654,0.40033,0.40443,0.40821,0.41204,0.41397
0.18796,0.23731,0.28644,0.30139,0.31327,0.32481,0.3344,0.34317,0.35101,0.35728,0.36446,0.36986,0.37602,0.38067,0.38671,0.38979,0.3936,0.39787,0.40137,0.40518
0.19521,0.23648,0.28215,0.29444,0.30647,0.31591,0.3254,0.33394,0.34162,0.34917,0.35501,0.36039,0.36653,0.37176,0.37569,0.37962,0.38401,0.3875,0.39098,0.39464
0.20102,0.24786,0.27842,0.29294,0.30098,0.31036,0.31891,0.32695,0.33411,0.34056,0.34627,0.35255,0.35823,0.36303,0.36685,0.37169,0.37591,0.37963,0.38325,0.38625
0.20507,0.2387,0.27518,0.28681,0.2966,0.30454,0.31258,0.32071,0.32775,0.33448,0.33995,0.34559,0.35075,0.35546,0.3602,0.36368,0.36914,0.37255,0.3758,0.3792
0.21032,0.25348,0.27358,0.28401,0.29234,0.30016,0.3083,0.316,0.32153,0.32825,0.33436,0.33996,0.34473,0.34916,0.35376,0.35774,0.36154,0.36562,0.36964,0.37244
0.21234,0.24492,0.27168,0.28071,0.28983,0.29694,0.30464,0.31037,0.31775,0.32275,0.32875,0.33417,0.33868,0.34432,0.34864,0.35268,0.35635,0.36028,0.36389,0.36658
0.21503,0.24181,0.2701,0.2783,0.28625,0.29354,0.30189,0.30712,0.31327,0.31939,0.32419,0.32921,0.33345,0.33802,0.34367,0.3476,0.35073,0.35421,0.35795,0.36086
0.21773,0.24299,0.26839,0.27623,0.28416,0.29237,0.29731,0.30367,0.31041,0.31636,0.32014,0.32558,0.32966,0.33411,0.33869,0.34232,0.34609,0.35,0.35238,0.35571
0.21957,0.24287,0.26776,0.27705,0.28195,0.28949,0.29488,0.30061,0.30671,0.31119,0.31738,0.32113,0.326,0.32984,0.3337,0.33843,0.34156,0.34612,0.34858,0.35166
0.22202,0.24351,0.26607,0.27323,0.27988,0.28672,0.29315,0.29803,0.30328,0.30851,0.31314,0.31779,0.3215,0.3294,0.3303,0.33474,0.33734,0.3413,0.3444,0.34759
